MOE_Code;MOE_Name;Address;Contact Person;Telephone;Telephone_Alt1;Telephone_Alt2;Email;Website;Year Opened;Longitude;Latitude;Area Administrative;Locality;Type;Ownership;Sector;School Administrator 1;School Administrator 2
U90001;Galen University;62 1/2 George Prince Highway;Andreas Charalambous;824-3226;;;;;0;-88.9980873;17.1870778;Cayo;Urban;University;Private Schools;Private;;
U90002;University of Belize ( various Faculties and campuses);Belmopan (Belize City, Punta Gorda, Central Farm);Alan Slusher;822-1000;;;;;2000;-88.76130835;17.24456533;Cayo;Urban;University;Community Schools;Specially Assisted;;
U90003;University of the West Indies School of Continuing Studies;Belize City;Jane Bennett (Resident Tutor);223-0484;;;;;0;0;0;Belize;Urban;University;Private Schools;Specially Assisted;;
